UnterkunftID,Name,Bezeichnung,Sterne,Stadt,Preis_pro_Nacht,max_Personen,Beschreibung,Eigenschaften,Bild_URL
21,"Roma Centro Hotel","Hotel",4,"Rom",135.00,2,"Hotel nahe dem historischen Zentrum Roms.","WLAN;Frühstück;24h-Rezeption","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
22,"Trastevere Apartment","Wohnung",4,"Rom",120.00,3,"Authentische Wohnung im Viertel Trastevere.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
23,"Colosseo View Suite","Wohnung",5,"Rom",210.00,4,"Exklusive Suite mit Blick auf das Kolosseum.","WLAN;Küche;Klimaanlage","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
24,"Vatican Garden Hotel","Hotel",3,"Rom",99.00,2,"Ruhiges Hotel unweit des Vatikans.","WLAN;Frühstück;Garten","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
25,"Termini Budget Rooms","Wohnung",2,"Rom",65.00,2,"Einfache Zimmer nahe Bahnhof Termini.","WLAN","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
26,"Pantheon Boutique Hotel","Hotel",4,"Rom",160.00,2,"Kleines Boutique-Hotel beim Pantheon.","WLAN;Frühstück","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
27,"Navona Square Loft","Wohnung",4,"Rom",145.00,3,"Loft direkt an der Piazza Navona.","WLAN;Küche;Waschmaschine","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
28,"Appia Antica Resort","Hotel",5,"Rom",230.00,4,"Resort mit Garten am Stadtrand.","WLAN;Pool;Spa","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
29,"Spanish Steps Studio","Wohnung",3,"Rom",105.00,2,"Kompaktes Studio bei der Spanischen Treppe.","WLAN;Küche","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
30,"Forum View Apartment","Wohnung",4,"Rom",155.00,4,"Geräumige Wohnung mit Blick auf das Forum Romanum.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
31,"Amsterdam Canal Hotel","Hotel",4,"Amsterdam",145.00,2,"Typisches Grachtenhotel mit Blick auf den Kanal.","WLAN;Frühstück;Fahrradverleih","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
32,"Jordaan Apartment","Wohnung",4,"Amsterdam",135.00,3,"Gemütliche Wohnung im Viertel Jordaan.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
33,"Dam Square Studio","Wohnung",3,"Amsterdam",110.00,2,"Kleines Studio direkt am Dam.","WLAN;Küche","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
34,"Vondelpark Inn","Hotel",3,"Amsterdam",99.00,2,"Hotel in der Nähe des Vondelparks.","WLAN;Frühstück;Garten","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
35,"Canal View Loft","Wohnung",5,"Amsterdam",190.00,4,"Loft mit großen Fenstern und Kanalblick.","WLAN;Küche;Waschmaschine","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
36,"Museum Quarter Hotel","Hotel",4,"Amsterdam",150.00,2,"Hotel zwischen Rijksmuseum und Van Gogh Museum.","WLAN;Frühstück","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
37,"De Pijp Family Apartment","Wohnung",4,"Amsterdam",140.00,5,"Familienfreundliches Apartment im Viertel De Pijp.","WLAN;Küche;Kinderbett","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
38,"Amsterdam Budget Rooms","Wohnung",2,"Amsterdam",75.00,2,"Einfache Zimmer für Kurztrips.","WLAN","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
39,"Harbour View Hotel","Hotel",4,"Amsterdam",155.00,3,"Modernes Hotel mit Blick auf den Hafen.","WLAN;Spa;Frühstücksbuffet","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
40,"Central Station Apartment","Wohnung",3,"Amsterdam",115.00,3,"Praktische Wohnung nahe Hauptbahnhof.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
41,"Barcelona Beach Hotel","Hotel",4,"Barcelona",130.00,2,"Hotel nur wenige Schritte vom Strand entfernt.","WLAN;Frühstück;Pool","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
42,"Barri Gòtic Apartment","Wohnung",4,"Barcelona",125.00,3,"Historische Wohnung im gotischen Viertel.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
43,"Sagrada Familia View","Wohnung",5,"Barcelona",195.00,4,"Moderne Wohnung mit Blick auf die Sagrada Família.","WLAN;Küche;Klimaanlage","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
44,"Las Ramblas Inn","Hotel",3,"Barcelona",99.00,2,"Hotel direkt an den Ramblas.","WLAN;Frühstück","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
45,"Gràcia Loft","Wohnung",4,"Barcelona",115.00,3,"Loft in einem beliebten Wohnviertel.","WLAN;Küche;Waschmaschine","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
46,"Port Vell Hotel","Hotel",4,"Barcelona",145.00,2,"Hotel mit Blick auf den alten Hafen.","WLAN;Spa;Frühstücksbuffet","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
47,"Eixample Family Flat","Wohnung",4,"Barcelona",135.00,5,"Großzügige Familienwohnung im Eixample.","WLAN;Küche;Kinderbett","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
48,"Barcelona Budget Rooms","Wohnung",2,"Barcelona",70.00,2,"Einfache Zimmer für Backpacker.","WLAN","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
49,"Montjuïc Park Hotel","Hotel",3,"Barcelona",105.00,2,"Hotel am Hang des Montjuïc mit Blick über die Stadt.","WLAN;Frühstück;Parkplatz","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
50,"Diagonal Mar Apartment","Wohnung",4,"Barcelona",140.00,4,"Moderne Wohnung nahe Einkaufszentrum Diagonal Mar.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
51,"Berlin Riverside Hostel","Hostel",3,"Berlin",45.00,6,"Einfaches Hostel direkt an der Spree.","WLAN;Gemeinschaftsküche","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
52,"Berlin Conference Hotel","Hotel",4,"Berlin",155.00,2,"Business-Hotel mit großen Tagungsräumen.","WLAN;Frühstück;Konferenzräume","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
53,"Studio Alexanderplatz","Wohnung",3,"Berlin",90.00,2,"Kompaktes Studio nahe Alexanderplatz.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
54,"Green Park Apartment","Wohnung",4,"Berlin",120.00,3,"Helle Wohnung in der Nähe eines großen Parks.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
55,"Luxury Berlin Suites","Wohnung",5,"Berlin",210.00,4,"Luxuriöse Suite mit Concierge-Service.","WLAN;Küche;Spa-Zugang","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
56,"Prenzlauer Studio","Wohnung",3,"Berlin",85.00,2,"Gemütliches Studio in ruhiger Seitenstraße.","WLAN;Küche","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
57,"Spreeblick Hotel","Hotel",4,"Berlin",145.00,3,"Hotel mit direktem Blick auf die Spree.","WLAN;Frühstück;Bar","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
58,"Historic Berlin Inn","Hotel",3,"Berlin",99.00,2,"Älteres, charmantes Stadthotel.","WLAN;Frühstück","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
59,"Loft Friedrichshain","Wohnung",4,"Berlin",130.00,3,"Modernes Loft in ehemaliger Fabrik.","WLAN;Küche;Waschmaschine","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
60,"City View Penthouse","Wohnung",5,"Berlin",240.00,4,"Penthouse mit großer Dachterrasse und Stadtblick.","WLAN;Küche;Balkon","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
61,"Paris Riverside Hostel","Hostel",3,"Paris",55.00,6,"Einfaches Hostel an der Seine.","WLAN;Gemeinschaftsküche","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
62,"Opera Grand Hotel","Hotel",5,"Paris",280.00,2,"Luxushotel nahe der Opéra Garnier.","WLAN;Spa;Frühstücksbuffet","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
63,"Left Bank Studio","Wohnung",3,"Paris",115.00,2,"Kleines Studio am linken Seine-Ufer.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
64,"Belleville Apartment","Wohnung",3,"Paris",95.00,3,"Preiswerte Wohnung in lebendigem Viertel.","WLAN;Küche","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
65,"Lux Montmartre Loft","Wohnung",5,"Paris",230.00,4,"Stylisches Loft am Hang von Montmartre.","WLAN;Küche;Klimaanlage","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
66,"Gare de Lyon Hotel","Hotel",4,"Paris",150.00,2,"Hotel mit guter Anbindung an Südfrankreich-Züge.","WLAN;Frühstück","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
67,"Latin Quarter Studio","Wohnung",3,"Paris",105.00,2,"Historisches Studio mit Holzbalken.","WLAN;Küche","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
68,"Marais Garden Hotel","Hotel",4,"Paris",175.00,2,"Boutique-Hotel mit kleinem Innenhofgarten.","WLAN;Frühstück;Bar","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
69,"Seine View Penthouse","Wohnung",5,"Paris",320.00,4,"Penthouse mit Panoramablick über die Stadt.","WLAN;Küche;Balkon","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
70,"Budget Latin Rooms","Wohnung",2,"Paris",80.00,2,"Einfache Zimmer im Studentenviertel.","WLAN","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
71,"Roma Budget Hostel","Hostel",3,"Rom",40.00,6,"Günstiges Hostel nahe Hauptsehenswürdigkeiten.","WLAN;Gemeinschaftsküche","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
72,"Roma Grand Hotel","Hotel",5,"Rom",260.00,2,"Traditionsreiches Luxushotel im Stadtzentrum.","WLAN;Spa;Frühstücksbuffet","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
73,"Trastevere Studio","Wohnung",3,"Rom",90.00,2,"Kleines Studio in Kopfsteinpflastergasse.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
74,"Colosseum Family Flat","Wohnung",4,"Rom",150.00,4,"Familienwohnung unweit des Kolosseums.","WLAN;Küche;Kinderbett","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
75,"Luxury Vatican Loft","Wohnung",5,"Rom",225.00,4,"Großzügiges Loft mit Blick auf den Petersdom.","WLAN;Küche;Klimaanlage","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
76,"Roma Termini Inn","Hotel",3,"Rom",85.00,2,"Einfaches Hotel nahe Bahnhof Termini.","WLAN;Frühstück","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
77,"Navona Garden Apartment","Wohnung",4,"Rom",140.00,3,"Ruhige Wohnung mit Innenhofgarten.","WLAN;Küche;Waschmaschine","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
78,"Forum Boutique Hotel","Hotel",4,"Rom",170.00,2,"Kleines Boutique-Hotel beim Forum Romanum.","WLAN;Frühstück;Bar","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
79,"Spanish Steps Loft","Wohnung",4,"Rom",160.00,3,"Elegantes Loft nahe Spanischer Treppe.","WLAN;Küche;Balkon","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
80,"Cheap Roma Rooms","Wohnung",2,"Rom",60.00,2,"Einfache Zimmer im Wohnhaus.","WLAN","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
81,"Amsterdam Party Hostel","Hostel",3,"Amsterdam",48.00,6,"Beliebtes Hostel für junge Reisende.","WLAN;Bar;Gemeinschaftsküche","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
82,"Canal Boutique Hotel","Hotel",4,"Amsterdam",165.00,2,"Stilvolles Hotel in historischem Grachtenhaus.","WLAN;Frühstück","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
83,"Central Studio Dam","Wohnung",3,"Amsterdam",120.00,2,"Studio nur wenige Meter vom Dam entfernt.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
84,"Harbour Apartment","Wohnung",4,"Amsterdam",145.00,3,"Modernes Apartment mit Hafenblick.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
85,"Luxury Canal Penthouse","Wohnung",5,"Amsterdam",260.00,4,"Penthouse mit Rundumblick über die Grachten.","WLAN;Küche;Terrasse","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
86,"Museum Boutique Inn","Hotel",3,"Amsterdam",110.00,2,"Kleines Hotel nahe Museumsviertel.","WLAN;Frühstück","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
87,"Jordaan Garden Flat","Wohnung",4,"Amsterdam",150.00,4,"Wohnung mit kleinem Stadtgarten.","WLAN;Küche;Waschmaschine","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
88,"Station Park Hotel","Hotel",4,"Amsterdam",155.00,2,"Hotel nahe Hauptbahnhof mit Parkzugang.","WLAN;Frühstück;Bar","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
89,"Budget Canal Rooms","Wohnung",2,"Amsterdam",80.00,2,"Einfache Zimmer am Kanal.","WLAN","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
90,"De Pijp Studio","Wohnung",3,"Amsterdam",115.00,2,"Trendiges Studio im Szeneviertel De Pijp.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
91,"Barcelona Party Hostel","Hostel",3,"Barcelona",42.00,6,"Hostel nahe Strandbars und Nachtleben.","WLAN;Bar;Gemeinschaftsküche","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
92,"Gaudí Design Hotel","Hotel",4,"Barcelona",155.00,2,"Design-Hotel inspiriert von Gaudí.","WLAN;Frühstück;Spa","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
93,"Beachfront Studio","Wohnung",3,"Barcelona",105.00,2,"Studio direkt an der Strandpromenade.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
94,"Historic Born Apartment","Wohnung",4,"Barcelona",130.00,3,"Apartment in engen Gassen des Born-Viertels.","WLAN;Küche","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
95,"Luxury Marina Loft","Wohnung",5,"Barcelona",220.00,4,"Loft mit Blick auf die Marina und eigenem Balkon.","WLAN;Küche;Klimaanlage","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
96,"Sants Business Hotel","Hotel",3,"Barcelona",99.00,2,"Business-Hotel nahe Bahnhof Sants.","WLAN;Frühstück","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
97,"Gràcia Rooftop Flat","Wohnung",4,"Barcelona",145.00,4,"Wohnung mit Dachterrasse im Viertel Gràcia.","WLAN;Küche;Balkon","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
98,"City Center Hotel BCN","Hotel",4,"Barcelona",145.00,2,"Zentral gelegenes Stadthotel mit Bar.","WLAN;Frühstück;Bar","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
99,"Budget Ramblas Rooms","Wohnung",2,"Barcelona",75.00,2,"Einfache Zimmer nahe den Ramblas.","WLAN","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
100,"Diagonal Family Apartment","Wohnung",4,"Barcelona",135.00,5,"Familienwohnung nahe Avinguda Diagonal.","WLAN;Küche;Kinderbett","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
101,"Berlin City Hostel","Hostel",3,"Berlin",39.00,6,"Hostel im Zentrum mit Gemeinschaftsraum.","WLAN;Gemeinschaftsküche","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
102,"Westend Business Hotel","Hotel",4,"Berlin",140.00,2,"Hotel in Messe-Nähe für Geschäftsreisende.","WLAN;Frühstück;Konferenzräume","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
103,"Charlottenburg Apartment","Wohnung",4,"Berlin",125.00,3,"Apartment in historischer Altbauwohnung.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
104,"Neukölln Loft","Wohnung",3,"Berlin",95.00,3,"Loft in kreativem Viertel Neukölln.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
105,"Luxury Spree Suites","Wohnung",5,"Berlin",230.00,4,"Exklusive Suiten mit Spreeblick.","WLAN;Küche;Spa-Zugang","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
106,"Alexanderplatz Plaza Hotel","Hotel",4,"Berlin",150.00,2,"Modernes Hochhaushotel am Alexanderplatz.","WLAN;Frühstück;Bar","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
107,"Wedding Budget Rooms","Wohnung",2,"Berlin",70.00,2,"Preiswerte Zimmer im Norden der Stadt.","WLAN","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
108,"Loft an der Uferstraße","Wohnung",4,"Berlin",135.00,3,"Loft mit großem Wohnbereich und Küche.","WLAN;Küche;Waschmaschine","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
109,"Tiergarten Lakeside Hotel","Hotel",4,"Berlin",145.00,2,"Hotel am See in der Nähe des Tiergartens.","WLAN;Frühstück;Parkplatz","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
110,"Skyline Tower Apartment","Wohnung",5,"Berlin",250.00,4,"Apartment im Hochhaus mit Panorama-Blick.","WLAN;Küche;Balkon","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
111,"Paris Student Hostel","Hostel",3,"Paris",50.00,6,"Beliebtes Hostel für Studierende.","WLAN;Gemeinschaftsküche","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
112,"Eiffel Boutique Hotel","Hotel",4,"Paris",190.00,2,"Boutique-Hotel mit Eiffelturm-Nähe.","WLAN;Frühstück;Bar","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
113,"Canal Saint-Martin Studio","Wohnung",3,"Paris",105.00,2,"Studio mit Blick auf den Kanal.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
114,"Pigalle Apartment","Wohnung",3,"Paris",100.00,3,"Wohnung im Ausgehviertel Pigalle.","WLAN;Küche","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
115,"Louvre Luxury Suite","Wohnung",5,"Paris",310.00,4,"Luxuriöse Suite wenige Schritte vom Louvre.","WLAN;Küche;Klimaanlage","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
116,"Montparnasse Business Hotel","Hotel",4,"Paris",160.00,2,"Business-Hotel mit guter Metro-Anbindung.","WLAN;Frühstück","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
117,"Belleville Rooftop Flat","Wohnung",4,"Paris",165.00,3,"Wohnung mit großer Dachterrasse und Stadtblick.","WLAN;Küche;Balkon","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
118,"Saint-Lazare Hotel","Hotel",3,"Paris",120.00,2,"Hotel nahe großem Bahnhof und Shoppingmeile.","WLAN;Frühstück","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
119,"Latin Quarter Penthouse","Wohnung",5,"Paris",330.00,4,"Penthouse mit Blick über die Dächer von Paris.","WLAN;Küche;Terrasse","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
120,"Budget Gare Rooms","Wohnung",2,"Paris",75.00,2,"Einfache Zimmer in Bahnhofsnähe.","WLAN","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
121,"Roma Student Hostel","Hostel",3,"Rom",38.00,6,"Hostel für Studierende nahe Universität.","WLAN;Gemeinschaftsküche","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
122,"Trevi Fountain Hotel","Hotel",4,"Rom",165.00,2,"Hotel unweit des Trevi-Brunnens.","WLAN;Frühstück;Bar","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
123,"Gianicolo Hill Apartment","Wohnung",4,"Rom",140.00,3,"Wohnung auf dem Hügel mit Stadtblick.","WLAN;Küche;Balkon","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
124,"Testaccio Studio","Wohnung",3,"Rom",95.00,2,"Studio im traditionellen Viertel Testaccio.","WLAN;Küche","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
125,"Luxury Forum Penthouse","Wohnung",5,"Rom",260.00,4,"Penthouse mit Blick auf antike Ruinen.","WLAN;Küche;Terrasse","https://images.pexels.com/photos/279746/pexels-photo-279746.jpeg"
126,"Colosseum Park Hotel","Hotel",4,"Rom",155.00,2,"Hotel mit Parknähe und Kolosseumsblick.","WLAN;Frühstück;Parkplatz","https://images.pexels.com/photos/189296/pexels-photo-189296.jpeg"
127,"Trastevere Rooftop Flat","Wohnung",4,"Rom",160.00,3,"Dachgeschosswohnung mit kleiner Terrasse.","WLAN;Küche;Balkon","https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg"
128,"Navona Classic Hotel","Hotel",3,"Rom",120.00,2,"Traditionelles Hotel in schmaler Altstadtgasse.","WLAN;Frühstück","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg"
129,"Termini Twin Rooms","Wohnung",2,"Rom",70.00,2,"Einfache Zweibettzimmer nahe Termini.","WLAN","https://images.pexels.com/photos/261187/pexels-photo-261187.jpeg"
130,"Vatican Garden Suite","Wohnung",4,"Rom",170.00,4,"Suite mit Zugang zu gemeinschaftlichem Garten.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
131,"Amsterdam Student Hostel","Hostel",3,"Amsterdam",45.00,6,"Hostel mit Gemeinschaftsbereich und Bar.","WLAN;Gemeinschaftsküche;Bar","https://images.pexels.com/photos/258154/pexels-photo-258154.jpeg"
132,"Canal Heritage Hotel","Hotel",4,"Amsterdam",170.00,2,"Hotel in restauriertem Grachtenhaus.","WLAN;Frühstück","https://images.pexels.com/photos/261102/pexels-photo-261102.jpeg"
133,"Oostpark Apartment","Wohnung",3,"Amsterdam",115.00,3,"Wohnung in der Nähe eines großen Parks im Osten.","WLAN;Küche","https://images.pexels.com/photos/271618/pexels-photo-271618.jpeg"
134,"Harbour Studio Docklands","Wohnung",3,"Amsterdam",105.00,2,"Studio in moderner Hafen-Gegend.","WLAN;Küche","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg"
